municipality_lower,iata_code,name
el arish,AAC,El Arish International Airport
annaba,AAE,Rabah Bitat Airport
aalborg,AAL,Aalborg Airport
malamala,AAM,Malamala Airport
al ain,AAN,Al Ain International Airport
anaco,AAO,Anaco Airport
samarinda,AAP,Aji Pangeran Tumenggung Pranoto International Airport
anapa,AAQ,Anapa Vityazevo Airport
aarhus,AAR,Aarhus Airport
altay,AAT,Altay Air Base
surallah,AAV,Allah Valley Airport
abakan,ABA,Abakan Airport
asaba,ABB,Asaba International Airport
albacete,ABC,Albacete-Los Llanos Airport
abadan,ABD,Abadan Airport
allentown,ABE,Lehigh Valley International Airport
alpha,ABH,Alpha Airport
abilene,ABI,Abilene Regional Airport
abidjan,ABJ,Port Bouet Airport
ambler,ABL,Ambler Airport
albuquerque,ABQ,Albuquerque International Sunport
aberdeen,ABR,Aberdeen Regional Airport
abu simbel,ABS,Abu Simbel Airport
abuja,ABV,Nnamdi Azikiwe International Airport
albury,ABX,Albury Airport
albany,ABY,Southwest Georgia Regional Airport
aberdeen,ABZ,Aberdeen Dyce Airport
acapulco,ACA,General Juan N Alvarez International Airport
accra,ACC,Kotoka International Airport
lanzarote island,ACE,Lanzarote Airport
altenrhein,ACH,St Gallen Altenrhein Airport
saint anne,ACI,Alderney Airport
anuradhapura,ACJ,Anuradhapura Air Force Base
nantucket,ACK,Nantucket Memorial Airport
achinsk,ACS,Achinsk Airport
waco,ACT,Waco Regional Airport
arcata/eureka,ACV,California Redwood Coast-Humboldt County Airport
xingyi,ACX,Xingyi Airport
atlantic city,ACY,Atlantic City International Airport
adana,ADA,Adana Airport
ã„â°zmir,ADB,Adnan Menderes International Airport
addis ababa,ADD,Addis Ababa Bole International Airport
aden,ADE,Aden International Airport
adã„â±yaman,ADF,AdÃ„Â±yaman Airport
arandis,ADI,Arandis Airport
amman,ADJ,Amman-Marka International Airport
adak island,ADK,Adak Airport
adelaide,ADL,Adelaide International Airport
ampara,ADP,Ampara Airport
kodiak,ADQ,Kodiak Airport
ardabil,ADU,Ardabil Airport
camp springs,ADW,Joint Base Andrews
st. andrews,ADX,RAF Leuchars
san andrãƒâ©s,ADZ,Gustavo Rojas Pinilla International Airport
baise,AEB,Baise Youjiang Airport
padang sidempuan-sumatra island,AEG,Aek Godang Airport
buenos aires,AEP,Jorge Newbery Airpark
sochi,AER,Sochi International Airport
ãƒâ…lesund,AES,ÃƒÂ…lesund Airport
abu musa,AEU,Abu Musa Island Airport
alexandria,AEX,Alexandria International Airport
akureyri,AEY,Akureyri Airport
san rafael,AFA,Suboficial Ay Santiago Germano Airport
alta floresta,AFL,Piloto Osvaldo Marques Dias Airport
fort worth,AFW,Fort Worth Alliance Airport
afyonkarahisar,AFY,Afyon Airport
sabzevar,AFZ,Sabzevar National Airport
agadir,AGA,Al Massira Airport
augsburg,AGB,Augsburg Airport
pittsburgh,AGC,Allegheny County Airport
agen/la garenne,AGF,Agen-La Garenne Airport
ãƒâ„ngelholm,AGH,ÃƒÂ„ngelholm-Helsingborg Airport
mãƒâ¡laga,AGP,MÃƒÂ¡laga Airport
augusta,AGS,Augusta Regional At Bush Field
ciudad del este,AGT,Guarani International Airport
aguascalientes,AGU,JesÃƒÂºs TerÃƒÂ¡n Paredo International Airport
acarigua,AGV,Oswaldo Guevara Mujica Airport
aggeneys,AGZ,Aggeneys Airport
abha,AHB,Abha Regional Airport
ahe atoll,AHE,Ahe Airport
aba,AHJ,Hongyuan Airport
athens,AHN,Athens Ben Epps Airport
alghero,AHO,Alghero-Fertilia Airport
al hoceima,AHU,Cherif Al Idrissi Airport
wainwright,AIN,Wainwright Airport
ajaccio/napolãƒâ©on bonaparte,AJA,Ajaccio-NapolÃƒÂ©on Bonaparte Airport
al-jawf,AJF,Al-Jawf Domestic Airport
aizawl,AJL,Lengpui Airport
ouani,AJN,Ouani Airport
arvidsjaur,AJR,Arvidsjaur Airport
aracaju,AJU,Santa Maria Airport
agadez,AJY,Mano Dayak International Airport
akron,AKC,Akron Fulton International Airport
akola,AKD,Akola Airport
kufra,AKF,Kufra Airport
asahikawa / hokkaidã…â,AKJ,Asahikawa Airport
auckland,AKL,Auckland International Airport
king salmon,AKN,King Salmon Airport
anaktuvuk pass,AKP,Anaktuvuk Pass Airport
akure,AKR,Akure Airport
akrotiri,AKT,RAF Akrotiri
aksu,AKU,Aksu Airport
akulivik,AKV,Akulivik Airport
aghajari,AKW,Aghajari Airport
aktyubinsk,AKX,Aktobe Airport
sittwe,AKY,Sittwe Airport
almaty,ALA,Almaty Airport
albany,ALB,Albany International Airport
alicante,ALC,Alicante International Airport
alta,ALF,Alta Airport
algiers,ALG,Houari Boumediene Airport
albany,ALH,Albany Airport
alice,ALI,Alice International Airport
alexander bay,ALJ,Alexander Bay Airport
albenga (sv),ALL,Villanova D'Albenga International Airport
alamogordo,ALM,Alamogordo White Sands Regional Airport
alton/st louis,ALN,St Louis Regional Airport
waterloo,ALO,Waterloo Regional Airport
aleppo,ALP,Aleppo International Airport
alexandra,ALR,Alexandra Airport
alamosa,ALS,San Luis Valley Regional Bergman Field
walla walla,ALW,Walla Walla Regional Airport
alexandria,ALY,El Nouzha Airport
amarillo,AMA,Rick Husband Amarillo International Airport
ahmedabad,AMD,Sardar Vallabhbhai Patel International Airport
amman,AMM,Queen Alia International Airport
ambon,AMQ,Pattimura Airport, Ambon
amsterdam,AMS,Amsterdam Airport Schiphol
amderma,AMV,Amderma Airport
manurewa,AMZ,Ardmore Airport
anniston,ANB,Anniston Regional Airport
anchorage,ANC,Ted Stevens Anchorage International Airport
anderson,AND,Anderson Regional Airport
angers/marcãƒâ©,ANE,Angers-Loire Airport
antofagasta,ANF,AndrÃƒÂ©s Sabella GÃƒÂ¡lvez International Airport
angoulãƒâªme/brie/champniers,ANG,AngoulÃƒÂªme-Brie-Champniers Airport
aniak,ANI,Aniak Airport
ankara,ANK,Etimesgut Air Base
annette,ANN,Annette Island Airport
antwerp,ANR,Antwerp International Airport (Deurne)
st. john's,ANU,V.C. Bird International Airport
anvik,ANV,Anvik Airport
